"id","subject_id","student_id","grade","time_of"
63,4,"40e0fe",12,2023-01-18
64,2,"40e0fe",3,2023-01-18
65,1,"40e0fe",12,2023-01-18
66,6,decb92,1,2023-01-19
67,3,decb92,5,2023-01-19
68,7,decb92,7,2023-01-19
69,5,decb92,12,2023-01-19
70,6,"11b9cb",3,2023-01-19
71,3,"11b9cb",5,2023-01-19
72,7,"11b9cb",10,2023-01-19
73,5,"11b9cb",3,2023-01-19
74,6,"7b268b",5,2023-01-19
75,3,"7b268b",10,2023-01-19
76,7,"7b268b",2,2023-01-19
77,5,"7b268b",11,2023-01-19
78,6,b39cee,8,2023-01-19
79,3,b39cee,12,2023-01-19
80,7,b39cee,8,2023-01-19
81,5,b39cee,12,2023-01-19
82,3,"2d30ec",12,2023-01-20
83,7,"2d30ec",3,2023-01-20
84,6,"2d30ec",9,2023-01-20
85,1,"2d30ec",4,2023-01-20
86,3,e04ff9,5,2023-01-20
87,7,e04ff9,3,2023-01-20
88,6,e04ff9,3,2023-01-20
89,1,e04ff9,8,2023-01-20
90,3,decb92,11,2023-01-20
91,7,decb92,4,2023-01-20
92,6,decb92,1,2023-01-20
93,1,decb92,1,2023-01-20
94,3,"83d833",7,2023-01-20
95,7,"83d833",10,2023-01-20
96,6,"83d833",9,2023-01-20
97,1,"83d833",6,2023-01-20
98,3,"1e77b0",11,2023-01-20
99,7,"1e77b0",8,2023-01-20
100,6,"1e77b0",10,2023-01-20
101,1,"1e77b0",11,2023-01-20
102,6,"000a1b",11,2023-01-23
103,2,"000a1b",3,2023-01-23
104,8,"000a1b",5,2023-01-23
105,3,"000a1b",9,2023-01-23
106,5,"000a1b",3,2023-01-23
107,6,b39cee,4,2023-01-23
108,2,b39cee,4,2023-01-23
109,8,b39cee,10,2023-01-23
110,3,b39cee,11,2023-01-23
111,5,b39cee,7,2023-01-23
112,6,b85d7b,6,2023-01-23
113,2,b85d7b,9,2023-01-23
114,8,b85d7b,8,2023-01-23
115,3,b85d7b,2,2023-01-23
116,5,b85d7b,9,2023-01-23
117,6,"40e0fe",11,2023-01-23
118,2,"40e0fe",2,2023-01-23
119,8,"40e0fe",9,2023-01-23
120,3,"40e0fe",5,2023-01-23
121,5,"40e0fe",2,2023-01-23
122,6,"807817",4,2023-01-23
123,2,"807817",8,2023-01-23
124,8,"807817",9,2023-01-23
125,3,"807817",3,2023-01-23
126,5,"807817",3,2023-01-23
127,4,ab288c,2,2023-01-24
128,2,ab288c,3,2023-01-24
129,3,ab288c,5,2023-01-24
130,5,ab288c,5,2023-01-24
131,4,d0ce45,6,2023-01-24
132,2,d0ce45,5,2023-01-24
133,3,d0ce45,5,2023-01-24
134,5,d0ce45,1,2023-01-24
135,4,"2d2957",3,2023-01-24
136,2,"2d2957",5,2023-01-24
137,3,"2d2957",8,2023-01-24
138,5,"2d2957",4,2023-01-24
139,4,"39be13",12,2023-01-24
140,2,"39be13",9,2023-01-24
141,3,"39be13",7,2023-01-24
142,5,"39be13",6,2023-01-24
143,4,"40e0fe",8,2023-01-24
144,2,"40e0fe",3,2023-01-24
145,3,"40e0fe",3,2023-01-24
146,5,"40e0fe",11,2023-01-24
147,5,bbdcca,3,2023-01-25
148,3,bbdcca,4,2023-01-25
149,2,bbdcca,2,2023-01-25
150,1,bbdcca,7,2023-01-25
151,8,bbdcca,8,2023-01-25
152,5,b706e0,2,2023-01-25
153,3,b706e0,3,2023-01-25
154,2,b706e0,3,2023-01-25
155,1,b706e0,6,2023-01-25
156,8,b706e0,2,2023-01-25
157,5,edbed6,7,2023-01-25
158,3,edbed6,12,2023-01-25
159,2,edbed6,8,2023-01-25
160,1,edbed6,1,2023-01-25
161,8,edbed6,3,2023-01-25
162,5,a06b5a,11,2023-01-25
163,3,a06b5a,7,2023-01-25
164,2,a06b5a,11,2023-01-25
165,1,a06b5a,5,2023-01-25
166,8,a06b5a,4,2023-01-25
167,1,"40e0fe",5,2023-01-26
168,7,"40e0fe",11,2023-01-26
169,2,"40e0fe",12,2023-01-26
170,4,"40e0fe",6,2023-01-26
171,1,d022bd,6,2023-01-26
172,7,d022bd,9,2023-01-26
173,2,d022bd,5,2023-01-26
174,4,d022bd,11,2023-01-26
175,1,"2d2957",9,2023-01-26
176,7,"2d2957",11,2023-01-26
177,2,"2d2957",9,2023-01-26
178,4,"2d2957",10,2023-01-26
179,1,"807817",5,2023-01-26
180,7,"807817",3,2023-01-26
181,2,"807817",2,2023-01-26
182,4,"807817",6,2023-01-26
183,8,a67c06,2,2023-01-27
184,2,a67c06,6,2023-01-27
185,7,a67c06,2,2023-01-27
186,5,a67c06,11,2023-01-27
187,6,a67c06,10,2023-01-27
188,8,b706e0,7,2023-01-27
189,2,b706e0,7,2023-01-27
190,7,b706e0,8,2023-01-27
191,5,b706e0,1,2023-01-27
192,6,b706e0,8,2023-01-27
193,8,e62b25,11,2023-01-27
194,2,e62b25,8,2023-01-27
195,7,e62b25,6,2023-01-27
196,5,e62b25,11,2023-01-27
197,6,e62b25,6,2023-01-27
198,8,"047011",11,2023-01-27
199,2,"047011",3,2023-01-27
200,7,"047011",10,2023-01-27
201,5,"047011",10,2023-01-27
202,6,"047011",8,2023-01-27
203,8,"80cc75",9,2023-01-30
204,3,"80cc75",5,2023-01-30
205,7,"80cc75",7,2023-01-30
206,1,"80cc75",4,2023-01-30
207,6,"80cc75",9,2023-01-30
208,8,"275dd5",8,2023-01-30
209,3,"275dd5",7,2023-01-30
210,7,"275dd5",5,2023-01-30
211,1,"275dd5",11,2023-01-30
212,6,"275dd5",7,2023-01-30
213,8,e62b25,5,2023-01-30
214,3,e62b25,2,2023-01-30
215,7,e62b25,6,2023-01-30
216,1,e62b25,8,2023-01-30
217,6,e62b25,12,2023-01-30
218,8,c77731,2,2023-01-30
219,3,c77731,3,2023-01-30
220,7,c77731,5,2023-01-30
221,1,c77731,2,2023-01-30
222,6,c77731,11,2023-01-30
223,4,d022bd,9,2023-01-31
224,8,d022bd,7,2023-01-31
225,3,d022bd,8,2023-01-31
226,1,d022bd,7,2023-01-31
227,4,"80cc75",2,2023-01-31
228,8,"80cc75",4,2023-01-31
229,3,"80cc75",5,2023-01-31
230,1,"80cc75",4,2023-01-31
231,4,"997a44",4,2023-01-31
232,8,"997a44",11,2023-01-31
233,3,"997a44",8,2023-01-31
234,1,"997a44",9,2023-01-31
235,4,b723f5,3,2023-01-31
236,8,b723f5,5,2023-01-31
237,3,b723f5,11,2023-01-31
238,1,b723f5,7,2023-01-31
239,6,a06b5a,8,2023-02-01
240,1,a06b5a,11,2023-02-01
241,4,a06b5a,11,2023-02-01
242,2,a06b5a,8,2023-02-01
243,6,"549cec",10,2023-02-01
244,1,"549cec",12,2023-02-01
245,4,"549cec",3,2023-02-01
246,2,"549cec",5,2023-02-01
247,6,e04ff9,12,2023-02-01
248,1,e04ff9,6,2023-02-01
249,4,e04ff9,11,2023-02-01
250,2,e04ff9,3,2023-02-01
251,6,"0a8153",11,2023-02-01
252,1,"0a8153",6,2023-02-01
253,4,"0a8153",7,2023-02-01
254,2,"0a8153",9,2023-02-01
255,6,"929b52",7,2023-02-01
256,1,"929b52",2,2023-02-01
257,4,"929b52",6,2023-02-01
258,2,"929b52",1,2023-02-01
259,8,"98059a",6,2023-02-02
260,3,"98059a",4,2023-02-02
261,6,"98059a",9,2023-02-02
262,2,"98059a",9,2023-02-02
263,7,"98059a",4,2023-02-02
264,8,"960b19",4,2023-02-02
265,3,"960b19",9,2023-02-02
266,6,"960b19",1,2023-02-02
267,2,"960b19",10,2023-02-02
268,7,"960b19",8,2023-02-02
269,8,eabec7,2,2023-02-02
270,3,eabec7,4,2023-02-02
271,6,eabec7,7,2023-02-02
272,2,eabec7,4,2023-02-02
273,7,eabec7,10,2023-02-02
274,8,"2d2957",12,2023-02-02
275,3,"2d2957",2,2023-02-02
276,6,"2d2957",8,2023-02-02
277,2,"2d2957",6,2023-02-02
278,7,"2d2957",2,2023-02-02
279,2,"40e0fe",6,2023-02-03
280,3,"40e0fe",6,2023-02-03
281,5,"40e0fe",12,2023-02-03
282,1,"40e0fe",12,2023-02-03
283,2,"2d2957",1,2023-02-03
284,3,"2d2957",6,2023-02-03
285,5,"2d2957",10,2023-02-03
286,1,"2d2957",7,2023-02-03
287,2,"1c192d",7,2023-02-03
288,3,"1c192d",3,2023-02-03
289,5,"1c192d",8,2023-02-03
290,1,"1c192d",5,2023-02-03
291,2,"80cc75",6,2023-02-03
292,3,"80cc75",11,2023-02-03
293,5,"80cc75",3,2023-02-03
294,1,"80cc75",12,2023-02-03
295,3,d0ce45,2,2023-02-06
296,1,d0ce45,10,2023-02-06
297,7,d0ce45,9,2023-02-06
298,5,d0ce45,7,2023-02-06
299,3,"2d2957",9,2023-02-06
300,1,"2d2957",2,2023-02-06
301,7,"2d2957",10,2023-02-06
302,5,"2d2957",5,2023-02-06
303,3,a482ef,12,2023-02-06
304,1,a482ef,1,2023-02-06
305,7,a482ef,9,2023-02-06
306,5,a482ef,5,2023-02-06
307,3,"6f7010",10,2023-02-06
308,1,"6f7010",7,2023-02-06
309,7,"6f7010",10,2023-02-06
310,5,"6f7010",8,2023-02-06
311,6,b9b00b,12,2023-02-07
312,8,b9b00b,5,2023-02-07
313,4,b9b00b,4,2023-02-07
314,3,b9b00b,7,2023-02-07
315,1,b9b00b,8,2023-02-07
316,6,a06b5a,2,2023-02-07
317,8,a06b5a,4,2023-02-07
318,4,a06b5a,7,2023-02-07
319,3,a06b5a,3,2023-02-07
320,1,a06b5a,3,2023-02-07
321,6,"960b19",11,2023-02-07
322,8,"960b19",6,2023-02-07
323,4,"960b19",2,2023-02-07
324,3,"960b19",3,2023-02-07
325,1,"960b19",1,2023-02-07
326,6,ab288c,4,2023-02-07
327,8,ab288c,2,2023-02-07
328,4,ab288c,10,2023-02-07
329,3,ab288c,8,2023-02-07
330,1,ab288c,3,2023-02-07
331,6,"6f7010",3,2023-02-07
332,8,"6f7010",5,2023-02-07
333,4,"6f7010",11,2023-02-07
334,3,"6f7010",4,2023-02-07
335,1,"6f7010",1,2023-02-07
336,5,b723f5,3,2023-02-08
337,4,b723f5,8,2023-02-08
338,6,b723f5,7,2023-02-08
339,3,b723f5,4,2023-02-08
340,5,b93755,7,2023-02-08
341,4,b93755,11,2023-02-08
342,6,b93755,6,2023-02-08
343,3,b93755,4,2023-02-08
344,5,"929b52",5,2023-02-08
345,4,"929b52",1,2023-02-08
346,6,"929b52",3,2023-02-08
347,3,"929b52",1,2023-02-08
348,5,d022bd,2,2023-02-08
349,4,d022bd,8,2023-02-08
350,6,d022bd,5,2023-02-08
351,3,d022bd,11,2023-02-08
352,5,"40e0fe",1,2023-02-09
353,1,"40e0fe",4,2023-02-09
354,2,"40e0fe",6,2023-02-09
355,3,"40e0fe",10,2023-02-09
356,5,"047011",6,2023-02-09
357,1,"047011",8,2023-02-09
358,2,"047011",5,2023-02-09
359,3,"047011",1,2023-02-09
360,5,"000a1b",10,2023-02-09
361,1,"000a1b",4,2023-02-09
362,2,"000a1b",8,2023-02-09
363,3,"000a1b",5,2023-02-09
364,5,b9b00b,10,2023-02-09
365,1,b9b00b,9,2023-02-09
366,2,b9b00b,8,2023-02-09
367,3,b9b00b,12,2023-02-09
368,5,eabec7,4,2023-02-09
369,1,eabec7,3,2023-02-09
370,2,eabec7,12,2023-02-09
371,3,eabec7,11,2023-02-09
372,3,"1e77b0",5,2023-02-10
373,8,"1e77b0",9,2023-02-10
374,5,"1e77b0",11,2023-02-10
375,1,"1e77b0",7,2023-02-10
376,4,"1e77b0",7,2023-02-10
377,3,"98059a",12,2023-02-10
378,8,"98059a",6,2023-02-10
379,5,"98059a",3,2023-02-10
380,1,"98059a",5,2023-02-10
381,4,"98059a",10,2023-02-10
382,3,decb92,2,2023-02-10
383,8,decb92,2,2023-02-10
384,5,decb92,10,2023-02-10
385,1,decb92,8,2023-02-10
386,4,decb92,11,2023-02-10
387,3,ed3bef,2,2023-02-10
388,8,ed3bef,1,2023-02-10
389,5,ed3bef,11,2023-02-10
390,1,ed3bef,5,2023-02-10
391,4,ed3bef,9,2023-02-10
392,3,"807817",10,2023-02-10
393,8,"807817",12,2023-02-10
394,5,"807817",10,2023-02-10
395,1,"807817",2,2023-02-10
396,4,"807817",5,2023-02-10
397,4,"929b52",7,2023-02-13
398,2,"929b52",3,2023-02-13
399,1,"929b52",5,2023-02-13
400,8,"929b52",6,2023-02-13
401,3,"929b52",8,2023-02-13
402,4,"960b19",4,2023-02-13
403,2,"960b19",12,2023-02-13
404,1,"960b19",7,2023-02-13
405,8,"960b19",1,2023-02-13
406,3,"960b19",5,2023-02-13
407,4,b9b00b,11,2023-02-13
408,2,b9b00b,4,2023-02-13
409,1,b9b00b,8,2023-02-13
410,8,b9b00b,7,2023-02-13
411,3,b9b00b,12,2023-02-13
412,4,b706e0,3,2023-02-13
413,2,b706e0,9,2023-02-13
414,1,b706e0,10,2023-02-13
415,8,b706e0,8,2023-02-13
416,3,b706e0,5,2023-02-13
417,7,e04ff9,4,2023-02-14
418,4,e04ff9,4,2023-02-14
419,6,e04ff9,10,2023-02-14
420,2,e04ff9,8,2023-02-14
421,7,"40e0fe",9,2023-02-14
422,4,"40e0fe",10,2023-02-14
423,6,"40e0fe",12,2023-02-14
424,2,"40e0fe",7,2023-02-14
425,7,c91a13,5,2023-02-14
426,4,c91a13,5,2023-02-14
427,6,c91a13,1,2023-02-14
428,2,c91a13,9,2023-02-14
429,7,b9b00b,3,2023-02-14
430,4,b9b00b,12,2023-02-14
431,6,b9b00b,8,2023-02-14
432,2,b9b00b,10,2023-02-14
433,3,"3fb3e7",11,2023-02-15
434,7,"3fb3e7",1,2023-02-15
435,1,"3fb3e7",5,2023-02-15
436,5,"3fb3e7",4,2023-02-15
437,3,"997a44",2,2023-02-15
438,7,"997a44",4,2023-02-15
439,1,"997a44",3,2023-02-15
440,5,"997a44",11,2023-02-15
441,3,a67c06,9,2023-02-15
442,7,a67c06,7,2023-02-15
443,1,a67c06,2,2023-02-15
444,5,a67c06,4,2023-02-15
445,3,"6f7010",5,2023-02-15
446,7,"6f7010",11,2023-02-15
447,1,"6f7010",9,2023-02-15
448,5,"6f7010",4,2023-02-15
449,4,d022bd,4,2023-02-16
450,6,d022bd,9,2023-02-16
451,1,d022bd,10,2023-02-16
452,5,d022bd,8,2023-02-16
453,2,d022bd,6,2023-02-16
454,4,"3fb3e7",7,2023-02-16
455,6,"3fb3e7",9,2023-02-16
456,1,"3fb3e7",5,2023-02-16
457,5,"3fb3e7",6,2023-02-16
458,2,"3fb3e7",1,2023-02-16
459,4,edbed6,11,2023-02-16
460,6,edbed6,11,2023-02-16
461,1,edbed6,11,2023-02-16
462,5,edbed6,7,2023-02-16
463,2,edbed6,4,2023-02-16
464,4,"7b268b",3,2023-02-16
465,6,"7b268b",2,2023-02-16
466,1,"7b268b",1,2023-02-16
467,5,"7b268b",5,2023-02-16
468,2,"7b268b",11,2023-02-16
469,4,b93755,7,2023-02-16
470,6,b93755,12,2023-02-16
471,1,b93755,6,2023-02-16
472,5,b93755,3,2023-02-16
473,2,b93755,5,2023-02-16
474,3,"1c192d",9,2023-02-17
475,4,"1c192d",5,2023-02-17
476,5,"1c192d",1,2023-02-17
477,1,"1c192d",6,2023-02-17
478,8,"1c192d",2,2023-02-17
479,3,b723f5,8,2023-02-17
480,4,b723f5,11,2023-02-17
481,5,b723f5,5,2023-02-17
482,1,b723f5,2,2023-02-17
483,8,b723f5,11,2023-02-17
484,3,"11b9cb",11,2023-02-17
485,4,"11b9cb",9,2023-02-17
486,5,"11b9cb",6,2023-02-17
487,1,"11b9cb",11,2023-02-17
488,8,"11b9cb",2,2023-02-17
489,3,b9b00b,8,2023-02-17
490,4,b9b00b,12,2023-02-17
491,5,b9b00b,6,2023-02-17
492,1,b9b00b,1,2023-02-17
493,8,b9b00b,6,2023-02-17
494,8,b9b00b,7,2023-02-20
495,7,b9b00b,12,2023-02-20
496,6,b9b00b,8,2023-02-20
497,2,b9b00b,6,2023-02-20
498,3,b9b00b,3,2023-02-20
499,8,"807817",8,2023-02-20
500,7,"807817",7,2023-02-20
501,6,"807817",2,2023-02-20
502,2,"807817",11,2023-02-20
503,3,"807817",1,2023-02-20
504,8,ab288c,11,2023-02-20
505,7,ab288c,5,2023-02-20
506,6,ab288c,2,2023-02-20
507,2,ab288c,1,2023-02-20
508,3,ab288c,7,2023-02-20
509,8,"83d833",4,2023-02-20
510,7,"83d833",11,2023-02-20
511,6,"83d833",4,2023-02-20
512,2,"83d833",3,2023-02-20
513,3,"83d833",12,2023-02-20
514,8,a67c06,11,2023-02-20
515,7,a67c06,9,2023-02-20
516,6,a67c06,6,2023-02-20
517,2,a67c06,10,2023-02-20
518,3,a67c06,8,2023-02-20
519,4,"7bfb92",5,2023-02-21
520,3,"7bfb92",12,2023-02-21
521,1,"7bfb92",3,2023-02-21
522,8,"7bfb92",1,2023-02-21
523,4,"39be13",8,2023-02-21
524,3,"39be13",11,2023-02-21
525,1,"39be13",4,2023-02-21
526,8,"39be13",10,2023-02-21
527,4,c77731,6,2023-02-21
528,3,c77731,10,2023-02-21
529,1,c77731,12,2023-02-21
530,8,c77731,5,2023-02-21
531,4,"0a8153",7,2023-02-21
532,3,"0a8153",4,2023-02-21
533,1,"0a8153",8,2023-02-21
534,8,"0a8153",3,2023-02-21
535,8,a482ef,8,2023-02-22
536,5,a482ef,3,2023-02-22
537,3,a482ef,6,2023-02-22
538,6,a482ef,11,2023-02-22
539,2,a482ef,5,2023-02-22
540,8,d0ce45,11,2023-02-22
541,5,d0ce45,1,2023-02-22
542,3,d0ce45,5,2023-02-22
543,6,d0ce45,7,2023-02-22
544,2,d0ce45,12,2023-02-22
545,8,"3fb3e7",7,2023-02-22
546,5,"3fb3e7",10,2023-02-22
547,3,"3fb3e7",9,2023-02-22
548,6,"3fb3e7",10,2023-02-22
549,2,"3fb3e7",9,2023-02-22
550,8,b723f5,2,2023-02-22
551,5,b723f5,3,2023-02-22
552,3,b723f5,9,2023-02-22
553,6,b723f5,3,2023-02-22
554,2,b723f5,5,2023-02-22
555,4,a482ef,1,2023-02-23
556,6,a482ef,4,2023-02-23
557,2,a482ef,11,2023-02-23
558,8,a482ef,3,2023-02-23
559,5,a482ef,7,2023-02-23
560,4,b723f5,3,2023-02-23
561,6,b723f5,1,2023-02-23
562,2,b723f5,1,2023-02-23
563,8,b723f5,2,2023-02-23
564,5,b723f5,12,2023-02-23
565,4,dcdc9b,12,2023-02-23
566,6,dcdc9b,1,2023-02-23
567,2,dcdc9b,11,2023-02-23
568,8,dcdc9b,1,2023-02-23
569,5,dcdc9b,1,2023-02-23
570,4,"7b268b",2,2023-02-23
571,6,"7b268b",1,2023-02-23
572,2,"7b268b",7,2023-02-23
573,8,"7b268b",12,2023-02-23
574,5,"7b268b",3,2023-02-23
575,6,b93755,8,2023-02-24
576,7,b93755,10,2023-02-24
577,2,b93755,4,2023-02-24
578,1,b93755,4,2023-02-24
579,4,b93755,10,2023-02-24
580,6,b85d7b,2,2023-02-24
581,7,b85d7b,10,2023-02-24
582,2,b85d7b,8,2023-02-24
583,1,b85d7b,4,2023-02-24
584,4,b85d7b,7,2023-02-24
585,6,b9b00b,5,2023-02-24
586,7,b9b00b,10,2023-02-24
587,2,b9b00b,6,2023-02-24
588,1,b9b00b,4,2023-02-24
589,4,b9b00b,9,2023-02-24
590,6,"929b52",12,2023-02-24
591,7,"929b52",10,2023-02-24
592,2,"929b52",3,2023-02-24
593,1,"929b52",8,2023-02-24
594,4,"929b52",8,2023-02-24
595,2,ed3bef,12,2023-02-27
596,5,ed3bef,11,2023-02-27
597,8,ed3bef,12,2023-02-27
598,6,ed3bef,10,2023-02-27
599,7,ed3bef,9,2023-02-27
600,2,a06b5a,7,2023-02-27
601,5,a06b5a,4,2023-02-27
602,8,a06b5a,6,2023-02-27
603,6,a06b5a,10,2023-02-27
604,7,a06b5a,5,2023-02-27
605,2,b9b00b,3,2023-02-27
606,5,b9b00b,12,2023-02-27
607,8,b9b00b,11,2023-02-27
608,6,b9b00b,10,2023-02-27
609,7,b9b00b,12,2023-02-27
610,2,"549cec",12,2023-02-27
611,5,"549cec",6,2023-02-27
612,8,"549cec",10,2023-02-27
613,6,"549cec",9,2023-02-27
614,7,"549cec",2,2023-02-27
615,1,b39cee,4,2023-02-28
616,3,b39cee,3,2023-02-28
617,4,b39cee,8,2023-02-28
618,5,b39cee,4,2023-02-28
619,1,"0a8153",8,2023-02-28
620,3,"0a8153",12,2023-02-28
621,4,"0a8153",5,2023-02-28
622,5,"0a8153",3,2023-02-28
623,1,"40e0fe",4,2023-02-28
624,3,"40e0fe",11,2023-02-28
625,4,"40e0fe",7,2023-02-28
626,5,"40e0fe",6,2023-02-28
627,1,"5f76a8",6,2023-02-28
628,3,"5f76a8",12,2023-02-28
629,4,"5f76a8",10,2023-02-28
630,5,"5f76a8",3,2023-02-28
631,3,"997a44",2,2023-03-01
632,4,"997a44",12,2023-03-01
633,6,"997a44",5,2023-03-01
634,2,"997a44",9,2023-03-01
635,5,"997a44",8,2023-03-01
636,3,ab288c,3,2023-03-01
637,4,ab288c,10,2023-03-01
638,6,ab288c,7,2023-03-01
639,2,ab288c,1,2023-03-01
640,5,ab288c,10,2023-03-01
641,3,b39cee,11,2023-03-01
642,4,b39cee,8,2023-03-01
643,6,b39cee,3,2023-03-01
644,2,b39cee,2,2023-03-01
645,5,b39cee,2,2023-03-01
646,3,"6f7010",5,2023-03-01
647,4,"6f7010",12,2023-03-01
648,6,"6f7010",7,2023-03-01
649,2,"6f7010",2,2023-03-01
650,5,"6f7010",1,2023-03-01
651,3,b723f5,1,2023-03-01
652,4,b723f5,11,2023-03-01
653,6,b723f5,11,2023-03-01
654,2,b723f5,5,2023-03-01
655,5,b723f5,8,2023-03-01
656,8,e62b25,1,2023-03-02
657,3,e62b25,1,2023-03-02
658,7,e62b25,4,2023-03-02
659,4,e62b25,12,2023-03-02
660,2,e62b25,5,2023-03-02
661,8,e04ff9,8,2023-03-02
662,3,e04ff9,11,2023-03-02
663,7,e04ff9,3,2023-03-02
664,4,e04ff9,8,2023-03-02
665,2,e04ff9,1,2023-03-02
666,8,b85d7b,8,2023-03-02
667,3,b85d7b,1,2023-03-02
668,7,b85d7b,10,2023-03-02
669,4,b85d7b,11,2023-03-02
670,2,b85d7b,3,2023-03-02
671,8,dcdc9b,4,2023-03-02
672,3,dcdc9b,12,2023-03-02
673,7,dcdc9b,11,2023-03-02
674,4,dcdc9b,3,2023-03-02
675,2,dcdc9b,7,2023-03-02
676,5,decb92,6,2023-03-03
677,4,decb92,8,2023-03-03
678,8,decb92,10,2023-03-03
679,2,decb92,12,2023-03-03
680,5,"047011",10,2023-03-03
681,4,"047011",1,2023-03-03
682,8,"047011",7,2023-03-03
683,2,"047011",5,2023-03-03
684,5,"11b9cb",7,2023-03-03
685,4,"11b9cb",2,2023-03-03
686,8,"11b9cb",10,2023-03-03
687,2,"11b9cb",11,2023-03-03
688,5,d022bd,3,2023-03-03
689,4,d022bd,3,2023-03-03
690,8,d022bd,5,2023-03-03
691,2,d022bd,4,2023-03-03
692,5,"2d2957",7,2023-03-03
693,4,"2d2957",4,2023-03-03
694,8,"2d2957",9,2023-03-03
695,2,"2d2957",10,2023-03-03
696,8,"000a1b",5,2023-03-06
697,3,"000a1b",6,2023-03-06
698,1,"000a1b",11,2023-03-06
699,4,"000a1b",3,2023-03-06
700,8,"1c192d",7,2023-03-06
701,3,"1c192d",9,2023-03-06
702,1,"1c192d",4,2023-03-06
703,4,"1c192d",7,2023-03-06
704,8,"40e0fe",2,2023-03-06
705,3,"40e0fe",5,2023-03-06
706,1,"40e0fe",11,2023-03-06
707,4,"40e0fe",6,2023-03-06
708,8,"6f234a",3,2023-03-06
709,3,"6f234a",5,2023-03-06
710,1,"6f234a",3,2023-03-06
711,4,"6f234a",2,2023-03-06
712,8,bbdcca,4,2023-03-06
713,3,bbdcca,4,2023-03-06
714,1,bbdcca,1,2023-03-06
715,4,bbdcca,11,2023-03-06
716,7,"7bfb92",1,2023-03-07
717,4,"7bfb92",5,2023-03-07
718,8,"7bfb92",11,2023-03-07
719,3,"7bfb92",11,2023-03-07
720,1,"7bfb92",3,2023-03-07
721,7,edbed6,8,2023-03-07
722,4,edbed6,2,2023-03-07
723,8,edbed6,4,2023-03-07
724,3,edbed6,1,2023-03-07
725,1,edbed6,5,2023-03-07
726,7,b706e0,2,2023-03-07
727,4,b706e0,2,2023-03-07
728,8,b706e0,9,2023-03-07
729,3,b706e0,7,2023-03-07
730,1,b706e0,3,2023-03-07
731,7,b93755,7,2023-03-07
732,4,b93755,1,2023-03-07
733,8,b93755,2,2023-03-07
734,3,b93755,10,2023-03-07
735,1,b93755,2,2023-03-07
736,7,"3762de",1,2023-03-07
737,4,"3762de",7,2023-03-07
738,8,"3762de",3,2023-03-07
739,3,"3762de",4,2023-03-07
740,1,"3762de",9,2023-03-07
741,4,"2d2957",5,2023-03-08
742,2,"2d2957",2,2023-03-08
743,7,"2d2957",8,2023-03-08
744,3,"2d2957",9,2023-03-08
745,4,b9b00b,9,2023-03-08
746,2,b9b00b,3,2023-03-08
747,7,b9b00b,5,2023-03-08
748,3,b9b00b,2,2023-03-08
749,4,"929b52",6,2023-03-08
750,2,"929b52",8,2023-03-08
